.\jfreechart-master\src\main\java\org\jfree\chart\plot\XYPlot.java, org.jfree.chart.plot, XYPlot, 2726, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\plot\CategoryPlot.java, org.jfree.chart.plot, CategoryPlot, 2417, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\swing\ChartPanel.java, org.jfree.chart.swing, ChartPanel, 1573, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\plot\pie\PiePlot.java, org.jfree.chart.plot.pie, PiePlot, 1545, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\data\general\DatasetUtils.java, org.jfree.data.general, DatasetUtils, 1458, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\renderer\AbstractRenderer.java, org.jfree.chart.renderer, AbstractRenderer, 1237, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\axis\DateAxis.java, org.jfree.chart.axis, DateAxis, 1065, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\ChartFactory.java, org.jfree.chart, ChartFactory, 1010, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\plot\PolarPlot.java, org.jfree.chart.plot, PolarPlot, 987, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\AbstractXYItemRenderer.java, org.jfree.chart.renderer.xy, AbstractXYItemRenderer, 974, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\StandardChartTheme.java, org.jfree.chart, StandardChartTheme, 947, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\AbstractCategoryItemRenderer.java, org.jfree.chart.renderer.category, AbstractCategoryItemRenderer, 932, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java, org.jfree.chart.axis, Axis, 799, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\JFreeChart.java, org.jfree.chart, JFreeChart, 790, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\axis\ValueAxis.java, org.jfree.chart.axis, ValueAxis, 768, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\plot\ThermometerPlot.java, org.jfree.chart.plot, ThermometerPlot, 761, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryAxis.java, org.jfree.chart.axis, CategoryAxis, 729, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\XYDifferenceRenderer.java, org.jfree.chart.renderer.xy, XYDifferenceRenderer, 703, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\BarRenderer.java, org.jfree.chart.renderer.category, BarRenderer, 681, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\plot\SpiderWebPlot.java, org.jfree.chart.plot, SpiderWebPlot, 676, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\axis\PeriodAxis.java, org.jfree.chart.axis, PeriodAxis, 669, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\plot\Plot.java, org.jfree.chart.plot, Plot, 655, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\axis\CyclicNumberAxis.java, org.jfree.chart.axis, CyclicNumberAxis, 643, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\plot\MeterPlot.java, org.jfree.chart.plot, MeterPlot, 643, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\XYBarRenderer.java, org.jfree.chart.renderer.xy, XYBarRenderer, 622, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\data\time\TimeSeries.java, org.jfree.data.time, TimeSeries, 601, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\axis\NumberAxis.java, org.jfree.chart.axis, NumberAxis, 596, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\BoxAndWhiskerRenderer.java, org.jfree.chart.renderer.category, BoxAndWhiskerRenderer, 593, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\axis\LogAxis.java, org.jfree.chart.axis, LogAxis, 573, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\XYLineAndShapeRenderer.java, org.jfree.chart.renderer.xy, XYLineAndShapeRenderer, 520, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\plot\FastScatterPlot.java, org.jfree.chart.plot, FastScatterPlot, 507, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\axis\LogarithmicAxis.java, org.jfree.chart.axis, LogarithmicAxis, 495, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\plot\flow\FlowPlot.java, org.jfree.chart.plot.flow, FlowPlot, 493, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\renderer\DefaultPolarItemRenderer.java, org.jfree.chart.renderer, DefaultPolarItemRenderer, 490, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\title\TextTitle.java, org.jfree.chart.title, TextTitle, 468, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\StandardXYItemRenderer.java, org.jfree.chart.renderer.xy, StandardXYItemRenderer, 466, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\legend\LegendItem.java, org.jfree.chart.legend, LegendItem, 445, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\plot\compass\CompassPlot.java, org.jfree.chart.plot.compass, CompassPlot, 438, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\XYBoxAndWhiskerRenderer.java, org.jfree.chart.renderer.xy, XYBoxAndWhiskerRenderer, 432, 0, Infinity
.\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\CandlestickRenderer.java, org.jfree.chart.renderer.xy, CandlestickRenderer, 428, 0, Infinity
