/Volumes/DATA/Etude/Informatique/IFT3913_Qualite_Logiciel_et_Metrique/Devoirs/Devoir1/IFT3913_TP1/jfreechart-master/src/test/java/org/jfree/data/general/TestIntervalCategoryDataset.java, org.jfree.data.general, TestIntervalCategoryDataset, 193, 0, Infinity
/Volumes/DATA/Etude/Informatique/IFT3913_Qualite_Logiciel_et_Metrique/Devoirs/Devoir1/IFT3913_TP1/jfreechart-master/src/test/java/org/jfree/chart/GanttChartTest.java, org.jfree.chart, GanttChartTest, 174, 3, 58.000000
/Volumes/DATA/Etude/Informatique/IFT3913_Qualite_Logiciel_et_Metrique/Devoirs/Devoir1/IFT3913_TP1/jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedRangeCategoryPlotTest.java, org.jfree.chart.plot, CombinedRangeCategoryPlotTest, 161, 8, 20.125000
/Volumes/DATA/Etude/Informatique/IFT3913_Qualite_Logiciel_et_Metrique/Devoirs/Devoir1/IFT3913_TP1/jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedDomainCategoryPlotTest.java, org.jfree.chart.plot, CombinedDomainCategoryPlotTest, 161, 9, 17.888889
/Volumes/DATA/Etude/Informatique/IFT3913_Qualite_Logiciel_et_Metrique/Devoirs/Devoir1/IFT3913_TP1/jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedRangeXYPlotTest.java, org.jfree.chart.plot, CombinedRangeXYPlotTest, 157, 9, 17.444445
/Volumes/DATA/Etude/Informatique/IFT3913_Qualite_Logiciel_et_Metrique/Devoirs/Devoir1/IFT3913_TP1/jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedDomainXYPlotTest.java, org.jfree.chart.plot, CombinedDomainXYPlotTest, 163, 10, 16.299999
/Volumes/DATA/Etude/Informatique/IFT3913_Qualite_Logiciel_et_Metrique/Devoirs/Devoir1/IFT3913_TP1/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/BoxAndWhiskerRendererTest.java, org.jfree.chart.renderer.category, BoxAndWhiskerRendererTest, 387, 38, 10.184211
/Volumes/DATA/Etude/Informatique/IFT3913_Qualite_Logiciel_et_Metrique/Devoirs/Devoir1/IFT3913_TP1/jfreechart-master/src/test/java/org/jfree/chart/swing/ChartPanelTest.java, org.jfree.chart.swing, ChartPanelTest, 216, 23, 9.391304
/Volumes/DATA/Etude/Informatique/IFT3913_Qualite_Logiciel_et_Metrique/Devoirs/Devoir1/IFT3913_TP1/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/StatisticalBarRendererTest.java, org.jfree.chart.renderer.category, StatisticalBarRendererTest, 169, 20, 8.450000
/Volumes/DATA/Etude/Informatique/IFT3913_Qualite_Logiciel_et_Metrique/Devoirs/Devoir1/IFT3913_TP1/jfreechart-master/src/test/java/org/jfree/data/time/YearTest.java, org.jfree.data.time, YearTest, 328, 47, 6.978724
/Volumes/DATA/Etude/Informatique/IFT3913_Qualite_Logiciel_et_Metrique/Devoirs/Devoir1/IFT3913_TP1/jfreechart-master/src/test/java/org/jfree/data/category/DefaultIntervalCategoryDatasetTest.java, org.jfree.data.category, DefaultIntervalCategoryDatasetTest, 304, 46, 6.608696
/Volumes/DATA/Etude/Informatique/IFT3913_Qualite_Logiciel_et_Metrique/Devoirs/Devoir1/IFT3913_TP1/jfreechart-master/src/test/java/org/jfree/data/time/QuarterTest.java, org.jfree.data.time, QuarterTest, 388, 60, 6.466667
/Volumes/DATA/Etude/Informatique/IFT3913_Qualite_Logiciel_et_Metrique/Devoirs/Devoir1/IFT3913_TP1/jfreechart-master/src/test/java/org/jfree/data/time/MonthTest.java, org.jfree.data.time, MonthTest, 374, 58, 6.448276
/Volumes/DATA/Etude/Informatique/IFT3913_Qualite_Logiciel_et_Metrique/Devoirs/Devoir1/IFT3913_TP1/jfreechart-master/src/test/java/org/jfree/data/time/WeekTest.java, org.jfree.data.time, WeekTest, 456, 71, 6.422535
